Source,Target,Weight,Type
2,119,0.3806,Undirected
2,128,0.4019,Undirected
2,130,0.2484,Undirected
2,132,0.2175,Undirected
2,134,0.4078,Undirected
2,135,0.2299,Undirected
2,156,0.2465,Undirected
2,168,0.2176,Undirected
2,169,0.3922,Undirected
2,170,0.2316,Undirected
2,172,0.5,Undirected
2,174,0.4273,Undirected
2,175,0.4463,Undirected
2,178,0.2348,Undirected
2,179,0.2602,Undirected
2,180,0.2075,Undirected
2,182,0.248,Undirected
2,185,0.287,Undirected
2,189,0.2039,Undirected
2,190,0.4106,Undirected
2,191,0.3292,Undirected
2,194,0.2024,Undirected
2,196,0.5194,Undirected
2,197,0.3846,Undirected
2,198,0.3063,Undirected
2,213,0.2375,Undirected
2,214,0.2669,Undirected
2,215,0.2461,Undirected
2,237,0.2536,Undirected
2,249,0.2001,Undirected
2,250,0.2351,Undirected
2,258,0.2785,Undirected
2,302,0.6478,Undirected
2,308,0.2755,Undirected
2,310,0.5726,Undirected
2,311,0.3256,Undirected
2,312,0.4596,Undirected
2,313,0.2931,Undirected
2,314,0.2934,Undirected
2,326,0.239,Undirected
2,327,0.2349,Undirected
2,347,0.2967,Undirected
2,348,0.2003,Undirected
2,357,0.2003,Undirected
2,358,0.2227,Undirected
2,365,0.2372,Undirected
2,372,0.234,Undirected
2,374,0.2268,Undirected
2,380,0.2052,Undirected
2,381,0.2058,Undirected
2,396,0.2129,Undirected
2,429,0.2634,Undirected
2,433,0.4216,Undirected
2,434,0.37,Undirected
2,435,0.4216,Undirected
2,441,0.2847,Undirected
2,442,0.3295,Undirected
2,445,0.2682,Undirected
2,446,0.3819,Undirected
2,454,0.3516,Undirected
2,455,0.3437,Undirected
2,456,0.2723,Undirected
2,457,0.3813,Undirected
2,458,0.305,Undirected
2,460,0.2261,Undirected
2,466,0.3455,Undirected
2,471,0.2995,Undirected
2,485,0.2766,Undirected
2,489,0.2348,Undirected
2,490,0.2164,Undirected
2,491,0.3223,Undirected
2,496,0.2288,Undirected
2,507,0.2216,Undirected
2,511,0.2049,Undirected
2,513,0.255,Undirected
2,538,0.2591,Undirected
2,564,0.2121,Undirected
2,580,0.253,Undirected
2,583,0.3756,Undirected
2,584,0.3756,Undirected
2,585,0.2779,Undirected
2,586,0.2609,Undirected
2,587,0.3024,Undirected
2,588,0.2666,Undirected
2,590,0.2226,Undirected
2,623,0.2354,Undirected
2,627,0.2119,Undirected
2,665,0.2836,Undirected
2,666,0.3131,Undirected
2,684,0.2717,Undirected
2,710,0.2129,Undirected
2,714,0.2999,Undirected
2,716,0.232,Undirected
2,717,0.2735,Undirected
2,720,0.3094,Undirected
2,728,0.2841,Undirected
2,731,0.2331,Undirected
2,732,0.2386,Undirected
2,741,0.2715,Undirected
2,747,0.2226,Undirected
2,749,0.2377,Undirected
2,755,0.2924,Undirected
2,765,0.2884,Undirected
2,780,0.2042,Undirected
3,4,0.2905,Undirected
3,7,0.3204,Undirected
3,8,0.218,Undirected
3,9,0.2306,Undirected
3,10,0.2301,Undirected
3,12,0.3194,Undirected
3,21,0.2014,Undirected
3,115,0.2022,Undirected
3,128,0.3282,Undirected
3,150,0.2272,Undirected
3,151,0.2212,Undirected
3,162,0.2185,Undirected
3,185,0.241,Undirected
3,257,0.2616,Undirected
3,302,0.2647,Undirected
3,310,0.2242,Undirected
3,311,0.2691,Undirected
3,312,0.3034,Undirected
3,313,0.2414,Undirected
3,314,0.2425,Undirected
3,325,0.2052,Undirected
3,347,0.2034,Undirected
3,355,0.221,Undirected
3,378,0.2046,Undirected
3,392,0.2545,Undirected
3,413,0.2439,Undirected
3,434,0.3314,Undirected
3,442,0.2433,Undirected
3,449,0.2843,Undirected
3,455,0.3001,Undirected
3,456,0.2181,Undirected
3,457,0.333,Undirected
3,458,0.2437,Undirected
3,491,0.236,Undirected
3,538,0.2081,Undirected
3,583,0.2824,Undirected
3,585,0.2089,Undirected
3,587,0.2265,Undirected
3,588,0.2023,Undirected
3,665,0.2063,Undirected
3,666,0.2216,Undirected
3,728,0.2121,Undirected
3,733,0.3233,Undirected
4,5,0.4522,Undirected
4,6,0.3834,Undirected
4,7,0.4147,Undirected
4,8,0.2565,Undirected
4,9,0.2694,Undirected
4,11,0.2503,Undirected
4,12,0.4089,Undirected
4,35,0.2533,Undirected
4,42,0.5851,Undirected
4,49,0.3774,Undirected
4,52,0.2156,Undirected
4,58,0.2906,Undirected
4,61,0.2427,Undirected
4,67,0.3595,Undirected
4,73,0.246,Undirected
4,94,0.3133,Undirected
4,99,0.3211,Undirected
4,107,0.2643,Undirected
4,112,0.2681,Undirected
4,114,0.3692,Undirected
4,115,0.288,Undirected
4,116,0.2382,Undirected
4,117,0.4024,Undirected
4,119,0.3482,Undirected
4,128,0.2553,Undirected
4,135,0.2287,Undirected
4,156,0.2727,Undirected
4,168,0.2205,Undirected
4,169,0.4154,Undirected
4,170,0.236,Undirected
4,172,0.2395,Undirected
4,174,0.6388,Undirected
4,175,0.47,Undirected
4,177,0.3393,Undirected
4,178,0.233,Undirected
4,179,0.261,Undirected
4,182,0.2476,Undirected
4,185,0.2848,Undirected
4,187,0.3537,Undirected
4,190,0.3723,Undirected
4,191,0.3471,Undirected
4,196,0.5468,Undirected
4,198,0.323,Undirected
4,206,0.2455,Undirected
4,213,0.2581,Undirected
4,214,0.2952,Undirected
4,215,0.2723,Undirected
4,232,0.2827,Undirected
4,237,0.2806,Undirected
4,249,0.2214,Undirected
4,250,0.26,Undirected
4,255,0.2137,Undirected
4,258,0.3081,Undirected
4,302,0.6382,Undirected
4,308,0.2181,Undirected
4,310,0.6059,Undirected
4,311,0.3275,Undirected
4,312,0.3709,Undirected
4,313,0.2951,Undirected
4,314,0.295,Undirected
4,325,0.209,Undirected
4,326,0.2346,Undirected
4,344,0.2051,Undirected
4,347,0.2467,Undirected
4,348,0.2138,Undirected
4,351,0.2065,Undirected
4,357,0.2138,Undirected
4,358,0.2377,Undirected
4,365,0.2546,Undirected
4,372,0.2328,Undirected
4,374,0.2384,Undirected
4,380,0.2108,Undirected
4,381,0.2112,Undirected
4,396,0.2243,Undirected
4,429,0.2727,Undirected
4,433,0.4463,Undirected
4,434,0.3762,Undirected
4,435,0.4463,Undirected
4,441,0.2635,Undirected
4,442,0.3317,Undirected
4,445,0.2868,Undirected
4,446,0.4025,Undirected
4,454,0.3734,Undirected
4,455,0.3518,Undirected
4,456,0.2793,Undirected
4,457,0.3903,Undirected
4,458,0.313,Undirected
4,460,0.2288,Undirected
4,466,0.3822,Undirected
4,471,0.2916,Undirected
4,485,0.2263,Undirected
4,489,0.2598,Undirected
4,490,0.2394,Undirected
4,491,0.2679,Undirected
4,496,0.2382,Undirected
4,507,0.2394,Undirected
4,511,0.2053,Undirected
4,513,0.2767,Undirected
4,538,0.2582,Undirected
4,564,0.2156,Undirected
4,580,0.2189,Undirected
4,583,0.3743,Undirected
4,584,0.3957,Undirected
4,585,0.2769,Undirected
4,586,0.2599,Undirected
4,587,0.3008,Undirected
4,588,0.2642,Undirected
4,590,0.2226,Undirected
4,612,0.2018,Undirected
4,615,0.2004,Undirected
4,620,0.2061,Undirected
4,623,0.2605,Undirected
4,627,0.2103,Undirected
4,665,0.2763,Undirected
4,666,0.312,Undirected
4,676,0.2143,Undirected
4,684,0.3006,Undirected
4,709,0.2143,Undirected
4,710,0.2355,Undirected
4,714,0.3317,Undirected
4,716,0.2566,Undirected
4,717,0.2719,Undirected
4,720,0.3374,Undirected
4,728,0.2404,Undirected
4,731,0.2331,Undirected
4,732,0.2382,Undirected
4,739,0.2143,Undirected
4,741,0.2934,Undirected
4,747,0.2462,Undirected
4,749,0.2583,Undirected
4,752,0.2045,Undirected
4,755,0.3085,Undirected
4,765,0.319,Undirected
4,767,0.2015,Undirected
4,776,0.2005,Undirected
4,780,0.2118,Undirected
5,6,0.4521,Undirected
5,7,0.2972,Undirected
5,8,0.3356,Undirected
5,23,0.2457,Undirected
5,42,0.4143,Undirected
5,49,0.2311,Undirected
5,57,0.2066,Undirected
5,58,0.2769,Undirected
5,67,0.3383,Undirected
5,77,0.2671,Undirected
5,81,0.2017,Undirected
5,91,0.2748,Undirected
5,94,0.2496,Undirected
5,99,0.2423,Undirected
5,114,0.2724,Undirected
5,117,0.2502,Undirected
5,119,0.2589,Undirected
5,147,0.2355,Undirected
5,149,0.2223,Undirected
5,159,0.2097,Undirected
5,168,0.3559,Undirected
5,169,0.4231,Undirected
5,170,0.3476,Undirected
5,171,0.2042,Undirected
5,174,0.4116,Undirected
5,175,0.3522,Undirected
5,178,0.2226,Undirected
5,179,0.2089,Undirected
5,182,0.245,Undirected
5,188,0.5693,Undirected
5,190,0.2083,Undirected
5,191,0.2233,Undirected
5,196,0.3709,Undirected
5,197,0.2917,Undirected
5,198,0.2105,Undirected
5,200,0.3197,Undirected
5,206,0.3808,Undirected
5,232,0.2683,Undirected
5,237,0.2456,Undirected
5,239,0.2265,Undirected
5,243,0.2135,Undirected
5,244,0.2476,Undirected
5,255,0.2116,Undirected
5,292,0.2113,Undirected
5,302,0.3601,Undirected
5,310,0.3985,Undirected
5,311,0.2964,Undirected
5,312,0.2483,Undirected
5,314,0.2671,Undirected
5,325,0.2998,Undirected
5,327,0.2816,Undirected
5,374,0.281,Undirected
5,380,0.2688,Undirected
5,395,0.2271,Undirected
5,396,0.3731,Undirected
5,400,0.2513,Undirected
5,429,0.2038,Undirected
5,433,0.2634,Undirected
5,434,0.2635,Undirected
5,435,0.2634,Undirected
5,446,0.2717,Undirected
5,455,0.2778,Undirected
5,456,0.2081,Undirected
5,457,0.3082,Undirected
5,461,0.2006,Undirected
5,466,0.2348,Undirected
5,471,0.2421,Undirected
5,485,0.2647,Undirected
5,487,0.4434,Undirected
5,502,0.2932,Undirected
5,503,0.2019,Undirected
5,579,0.2602,Undirected
5,580,0.3123,Undirected
5,597,0.2175,Undirected
5,647,0.2079,Undirected
5,672,0.2235,Undirected
5,719,0.2352,Undirected
5,720,0.373,Undirected
5,721,0.3174,Undirected
5,728,0.2164,Undirected
5,732,0.2009,Undirected
5,749,0.2029,Undirected
5,753,0.2013,Undirected
5,755,0.2937,Undirected
6,9,0.2321,Undirected
6,21,0.2232,Undirected
6,39,0.2061,Undirected
6,42,0.5709,Undirected
6,45,0.314,Undirected
6,48,0.2161,Undirected
6,49,0.3112,Undirected
6,58,0.2278,Undirected
6,67,0.2644,Undirected
6,73,0.5312,Undirected
6,77,0.2219,Undirected
6,84,0.453,Undirected
6,85,0.4438,Undirected
6,91,0.2433,Undirected
6,94,0.2205,Undirected
6,95,0.2243,Undirected
6,99,0.2199,Undirected
6,107,0.2151,Undirected
6,108,0.2054,Undirected
6,109,0.2006,Undirected
