Source,Target,Weight,Type
11,25,0.5622,Undirected
11,26,0.6511,Undirected
11,35,0.577,Undirected
11,36,0.5954,Undirected
11,44,0.5521,Undirected
11,336,0.5548,Undirected
11,337,0.3816,Undirected
11,338,0.6184,Undirected
11,339,0.5724,Undirected
11,364,0.2264,Undirected
11,365,0.573,Undirected
11,371,0.3599,Undirected
11,375,0.5337,Undirected
11,378,0.4745,Undirected
11,379,0.2893,Undirected
11,383,0.2637,Undirected
11,384,0.2903,Undirected
11,396,0.4021,Undirected
11,397,0.5835,Undirected
12,27,0.5216,Undirected
12,32,0.6608,Undirected
12,49,0.2861,Undirected
12,74,0.3017,Undirected
12,75,0.3017,Undirected
12,155,0.2989,Undirected
12,156,0.2992,Undirected
12,172,0.2622,Undirected
12,251,0.2103,Undirected
12,252,0.2382,Undirected
12,253,0.2284,Undirected
12,254,0.38,Undirected
12,329,0.2978,Undirected
12,335,0.2071,Undirected
12,341,0.4173,Undirected
12,342,0.2586,Undirected
12,344,0.2738,Undirected
12,345,0.2423,Undirected
12,356,0.2551,Undirected
12,363,0.3326,Undirected
12,428,0.3017,Undirected
12,429,0.3017,Undirected
12,495,0.2989,Undirected
12,496,0.3055,Undirected
12,514,0.2622,Undirected
12,575,0.2327,Undirected
12,576,0.2181,Undirected
12,577,0.3001,Undirected
13,72,0.2548,Undirected
13,73,0.2486,Undirected
13,76,0.5386,Undirected
13,77,0.5571,Undirected
13,78,0.4821,Undirected
13,79,0.2481,Undirected
13,80,0.2473,Undirected
13,81,0.2379,Undirected
13,82,0.2292,Undirected
13,152,0.2266,Undirected
13,153,0.2186,Undirected
13,154,0.2298,Undirected
13,226,0.2157,Undirected
13,228,0.2272,Undirected
13,229,0.2519,Undirected
13,385,0.238,Undirected
13,424,0.2421,Undirected
13,425,0.2091,Undirected
13,426,0.2398,Undirected
13,427,0.2325,Undirected
13,430,0.5328,Undirected
13,431,0.5571,Undirected
13,432,0.5269,Undirected
13,433,0.2506,Undirected
13,434,0.2546,Undirected
13,435,0.2292,Undirected
13,492,0.2259,Undirected
13,493,0.2154,Undirected
13,494,0.2324,Undirected
13,559,0.2157,Undirected
13,561,0.2272,Undirected
13,562,0.2519,Undirected
14,18,0.2085,Undirected
14,19,0.2031,Undirected
14,33,0.6001,Undirected
14,34,0.8726,Undirected
14,50,0.6651,Undirected
14,64,0.2763,Undirected
14,69,0.2742,Undirected
14,83,0.2597,Undirected
14,84,0.3188,Undirected
14,87,0.257,Undirected
14,89,0.2352,Undirected
14,90,0.2009,Undirected
14,112,0.2441,Undirected
14,151,0.2452,Undirected
14,157,0.275,Undirected
14,164,0.2499,Undirected
14,202,0.2688,Undirected
14,262,0.2238,Undirected
14,273,0.2071,Undirected
14,340,0.8895,Undirected
14,341,0.2017,Undirected
14,368,0.8414,Undirected
14,380,0.7663,Undirected
14,398,0.3773,Undirected
14,399,0.3213,Undirected
14,500,0.2274,Undirected
14,535,0.2622,Undirected
14,578,0.2016,Undirected
15,25,0.3892,Undirected
15,26,0.3995,Undirected
15,28,0.2027,Undirected
15,35,0.6092,Undirected
15,36,0.678,Undirected
15,44,0.6189,Undirected
15,52,0.2048,Undirected
15,63,0.2104,Undirected
15,88,0.3286,Undirected
15,199,0.2831,Undirected
15,206,0.2124,Undirected
15,207,0.2624,Undirected
15,336,0.6096,Undirected
15,337,0.675,Undirected
15,338,0.6273,Undirected
15,339,0.6044,Undirected
15,365,0.6028,Undirected
15,371,0.2726,Undirected
15,375,0.5003,Undirected
15,378,0.4639,Undirected
15,379,0.3723,Undirected
15,384,0.2689,Undirected
15,396,0.6822,Undirected
15,397,0.5517,Undirected
15,440,0.2503,Undirected
15,441,0.2707,Undirected
15,465,0.2068,Undirected
15,483,0.3087,Undirected
15,541,0.3415,Undirected
15,640,0.2041,Undirected
16,19,0.3098,Undirected
16,90,0.3062,Undirected
