Id,Label,Cluster,Category
40,Foot Tractor Wading Boots - Sticky Rubber Sole,1,Men'sMen's > Shop by CategoryShop by Category > WadersMen's Waders & Boots > BootsWading Boots > Foot Tractor Wading Boots - Sticky Rubber Sole
41,Forra Wading Boots - Grip Studs™ Traction Kit,1,SportsSports > Fly FishingFly Fishing > Packs & GearFly Fishing Packs & Gear > Forra Wading Boots - Grip Studs™ Traction Kit
42,Forra Wading Boots,1,Men'sMen's > Shop by CategoryShop by Category > WadersMen's Waders & Boots > BootsWading Boots > Forra Wading Boots
43,Friction Belt,1,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > Friction Belt
44,Graphic Maclure Hat,3,Men'sMen's > Shop by CategoryShop by Category > Hats & AccessoriesMen's Hats & Accesories > HatsHats > CapsCaps > Graphic Maclure Hat
45,Great Divider Boat Bag 26L,1,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Great Divider Boat Bag 26L
46,Guidewater Backpack 29L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Guidewater Backpack 29L
47,Guidewater Hip Pack 9L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Guidewater Hip Pack 9L
48,Guidewater Sling Pack 15L,0,PacksPacks > Packs & GearBags & Luggage > Technical PacksTechnical Packs > Guidewater Sling Pack 15L
49,Heavyweight Merino Wool-Blend Knee Socks,1,FeaturedFeatured > Shop by CategoryShop by Category > Socks & UnderwearSocks & Underwear > Heavyweight Merino Wool-Blend Knee Socks
50,Home Water Trout Uprisal Hoody,2,FeaturedFeatured > Shop by CategoryShop by Category > Sweatshirts & HoodiesSweatshirts & Hoodies > Home Water Trout Uprisal Hoody
51,Homepool Mitt Fishing Gloves,4,SportsSports > Fly FishingFly Fishing > Men'sMen's > Hats & AccessoriesFly Fishing Hats & Accessories > Homepool Mitt Fishing Gloves
52,Men's '73 Skyline Organic T-Shirt,2,Men'sMen's > Shop by CategoryShop by Category > TopsTops > Short SleeveShort Sleeve > Men's '73 Skyline Organic T-Shirt
53,Men's Airshed Pro Pullover,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > Men's Airshed Pro Pullover
54,Men's All Seasons Work Vest,1,SportsSports > WorkwearWorkwear > Men's All Seasons Work Vest
55,Men's Alpine Guide Pants - Regular,0,Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > Snow & Alpine PantsMen's Snow & Alpine Pants > Men's Alpine Guide Pants - Regular
56,Men's Alpine Guide Pants - Short,0,SportsSports > ClimbingClimbing > Men'sMen's > Pants & ShortsClimbing Pants > Men's Alpine Guide Pants - Short
57,Men's Terravia Alpine Pants - Regular,0,Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > PantsMen's Pants > Men's Terravia Alpine Pants - Regular
58,Men's Terravia Trail Pants - Regular,0,Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > PantsMen's Pants > Men's Terravia Trail Pants - Regular
59,Men's Terravia Trail Pants - Short,0,Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > PantsMen's Pants > Men's Terravia Trail Pants - Short
60,"Men's Baggies™ Lights - 6""",0,"FeaturedFeatured > Past Season GearWeb Specials > Men'sMen's > ShortsShorts > Men's Baggies™ Lights - 6"""
