Source,Target,Weight,Type
15,396,0.6102,Undirected
15,397,0.4033,Undirected
16,19,0.1817,Undirected
16,90,0.1803,Undirected
16,103,0.3423,Undirected
16,104,0.3684,Undirected
16,140,0.3072,Undirected
16,141,0.3422,Undirected
16,146,0.1711,Undirected
16,147,0.217,Undirected
16,148,0.233,Undirected
16,259,0.3214,Undirected
16,260,0.3115,Undirected
16,269,0.2175,Undirected
16,296,0.2266,Undirected
16,335,0.2343,Undirected
16,391,0.1715,Undirected
16,440,0.4218,Undirected
16,441,0.2034,Undirected
16,442,0.5225,Undirected
16,459,0.3306,Undirected
16,460,0.3325,Undirected
16,461,0.3855,Undirected
16,484,0.3372,Undirected
16,485,0.3325,Undirected
16,501,0.155,Undirected
16,574,0.3586,Undirected
16,589,0.3946,Undirected
16,590,0.3855,Undirected
16,591,0.3612,Undirected
16,592,0.3612,Undirected
16,599,0.215,Undirected
16,627,0.2326,Undirected
17,18,0.9072,Undirected
17,89,0.6029,Undirected
17,206,0.249,Undirected
17,207,0.2497,Undirected
17,208,0.2163,Undirected
17,272,0.4754,Undirected
17,311,0.3722,Undirected
17,312,0.3722,Undirected
17,313,0.4079,Undirected
17,420,0.4656,Undirected
17,421,0.4663,Undirected
17,445,0.3585,Undirected
17,541,0.2133,Undirected
17,542,0.1626,Undirected
17,543,0.2659,Undirected
17,544,0.178,Undirected
17,578,0.7073,Undirected
17,579,0.8003,Undirected
18,89,0.5878,Undirected
18,206,0.2354,Undirected
18,207,0.2359,Undirected
18,208,0.2042,Undirected
18,272,0.4581,Undirected
18,311,0.3585,Undirected
18,312,0.3585,Undirected
18,313,0.3929,Undirected
18,398,0.1557,Undirected
18,420,0.4495,Undirected
18,421,0.4502,Undirected
18,445,0.3456,Undirected
18,541,0.2039,Undirected
18,542,0.1629,Undirected
18,543,0.251,Undirected
18,544,0.1784,Undirected
18,578,0.7278,Undirected
18,579,0.7684,Undirected
19,90,0.9973,Undirected
19,146,0.8771,Undirected
19,163,0.2427,Undirected
19,442,0.341,Undirected
19,465,0.2801,Undirected
19,501,0.5971,Undirected
19,640,0.3137,Undirected
20,21,0.7275,Undirected
20,91,0.5531,Undirected
20,92,0.3298,Undirected
20,177,0.297,Undirected
20,178,0.3001,Undirected
20,391,0.2205,Undirected
20,446,0.5531,Undirected
20,447,0.6992,Undirected
20,517,0.296,Undirected
20,518,0.3005,Undirected
21,91,0.5637,Undirected
21,92,0.3447,Undirected
21,177,0.2486,Undirected
21,178,0.2513,Undirected
21,335,0.1741,Undirected
21,391,0.3244,Undirected
21,446,0.5637,Undirected
21,447,0.8513,Undirected
21,517,0.2478,Undirected
21,518,0.2516,Undirected
22,24,0.167,Undirected
22,31,0.1716,Undirected
22,45,0.183,Undirected
22,343,0.498,Undirected
22,361,0.1594,Undirected
22,362,0.4955,Undirected
22,377,0.2522,Undirected
22,392,0.3365,Undirected
22,393,0.3609,Undirected
23,29,0.1795,Undirected
23,30,0.1618,Undirected
23,45,0.1836,Undirected
23,367,0.2033,Undirected
23,377,0.1727,Undirected
23,394,0.2451,Undirected
23,395,0.2535,Undirected
24,28,0.182,Undirected
24,29,0.1811,Undirected
24,30,0.1962,Undirected
24,31,0.1837,Undirected
24,45,0.5,Undirected
24,46,0.8197,Undirected
24,47,0.6295,Undirected
24,48,0.8023,Undirected
24,343,0.2923,Undirected
24,357,0.2144,Undirected
24,358,0.2152,Undirected
24,362,0.1532,Undirected
24,367,0.2714,Undirected
24,377,0.2612,Undirected
24,394,0.2147,Undirected
24,395,0.2163,Undirected
25,26,0.6493,Undirected
25,36,0.1973,Undirected
25,60,0.1961,Undirected
25,61,0.2643,Undirected
25,62,0.2681,Undirected
25,85,0.1693,Undirected
25,103,0.1921,Undirected
25,104,0.2046,Undirected
25,105,0.2217,Undirected
25,137,0.2865,Undirected
25,138,0.2569,Undirected
25,142,0.1984,Undirected
25,160,0.1687,Undirected
25,200,0.1626,Undirected
25,218,0.1742,Undirected
25,259,0.1754,Undirected
25,280,0.1653,Undirected
25,314,0.267,Undirected
25,315,0.2787,Undirected
25,338,0.1723,Undirected
25,364,0.3458,Undirected
25,371,0.3018,Undirected
25,378,0.2227,Undirected
25,379,0.2651,Undirected
25,383,0.3906,Undirected
25,397,0.1702,Undirected
25,411,0.3467,Undirected
25,412,0.294,Undirected
25,459,0.1647,Undirected
25,460,0.1653,Undirected
25,461,0.174,Undirected
25,463,0.1505,Undirected
25,532,0.1565,Undirected
25,533,0.2783,Undirected
25,534,0.2005,Undirected
25,551,0.1568,Undirected
25,552,0.1568,Undirected
25,574,0.1592,Undirected
25,591,0.1731,Undirected
25,592,0.1731,Undirected
25,593,0.2921,Undirected
25,611,0.166,Undirected
25,639,0.2823,Undirected
26,35,0.203,Undirected
26,36,0.2928,Undirected
26,61,0.1913,Undirected
26,62,0.1941,Undirected
26,137,0.2109,Undirected
26,138,0.1891,Undirected
26,314,0.2019,Undirected
26,315,0.2109,Undirected
26,338,0.3088,Undirected
26,339,0.2014,Undirected
26,364,0.2604,Undirected
26,365,0.2006,Undirected
26,371,0.2817,Undirected
26,375,0.1865,Undirected
26,378,0.2251,Undirected
26,379,0.2676,Undirected
26,383,0.3221,Undirected
26,397,0.3148,Undirected
26,411,0.2446,Undirected
26,412,0.2073,Undirected
26,533,0.1997,Undirected
26,593,0.2088,Undirected
26,639,0.2059,Undirected
27,32,0.2758,Undirected
27,341,0.3292,Undirected
27,342,0.2053,Undirected
27,344,0.294,Undirected
28,29,0.3949,Undirected
28,30,0.4454,Undirected
28,31,0.418,Undirected
28,47,0.188,Undirected
28,343,0.1605,Undirected
28,357,0.1729,Undirected
28,358,0.1735,Undirected
28,367,0.1567,Undirected
28,377,0.1955,Undirected
28,394,0.1631,Undirected
28,395,0.1604,Undirected
29,30,0.8235,Undirected
29,31,0.7568,Undirected
29,47,0.1595,Undirected
29,343,0.162,Undirected
29,357,0.1641,Undirected
29,358,0.1646,Undirected
29,367,0.1629,Undirected
29,377,0.2306,Undirected
29,394,0.1532,Undirected
29,395,0.1568,Undirected
30,31,0.7505,Undirected
30,45,0.1543,Undirected
30,46,0.1597,Undirected
30,47,0.1789,Undirected
30,48,0.1563,Undirected
30,343,0.1654,Undirected
30,357,0.1684,Undirected
30,358,0.1689,Undirected
30,377,0.2075,Undirected
30,394,0.1666,Undirected
30,395,0.1678,Undirected
31,47,0.1665,Undirected
31,343,0.2068,Undirected
31,357,0.184,Undirected
31,358,0.1847,Undirected
31,377,0.2394,Undirected
31,394,0.1933,Undirected
31,395,0.1904,Undirected
32,254,0.1822,Undirected
32,341,0.4904,Undirected
32,342,0.1767,Undirected
32,344,0.173,Undirected
